errorNum	errorId	userId	filename	errorType	delay	row	occurredTimestamp	displayedTimestamp	solvedTimestamp	detailFirstOpenedTimestamp	detailLastOpenedTimestamp	solved	displayed	detailOpened	errorDuration	displayedDuration	classActiveDuration	firstDetailToSolvedDuration	lastDetailToSolvedDuration	detailOpenedDelay	updatedCount	setCursorCount	detailOpenedCount	classActivatedCount
2015	265018315	52_23_21_52_22_61_15	Config.java	field is never used	60000	41	1518703150514	0	0	0	0	false	false	false	321597	0	44059	0	0	0	1	0	0	2
2360	-510872221	52_23_21_52_26_34_15	Pit.java	parameter is never used	30000	22	1518703356651	0	1518703370556	0	0	true	false	false	13905	0	13905	0	0	0	1	0	0	1
4458	-783121874	24_102_38_44_41_57_16	Pit.java	return is unnecessary as the last statement in a void method	15000	27	1518776034295	0	1518776036452	0	0	true	false	false	2157	0	2157	0	0	0	1	0	0	1
4901	-1067244721	52_23_21_52_19_121_16	Config.java	field is never used	60000	29	1518787047156	1518788104565	0	0	0	false	true	false	2878763	148875	208875	0	0	0	1	0	0	31
2364	-510872221	52_23_21_52_26_34_15	Pit.java	parameter is never used	30000	22	1518703413100	0	1518703416859	0	0	true	false	false	3759	0	3759	0	0	0	1	0	0	1
4869	920172863	52_23_21_52_18_38_16	Pit.java	field is never used	60000	13	1518790682508	0	1518790700107	0	0	true	false	false	17599	0	16027	0	0	0	1	0	0	2
2751	-199666137	0_21_93_34_27_2_16	Pit.java	field is never used	60000	12	1518775722107	0	1518775728107	0	0	true	false	false	6000	0	6000	0	0	0	1	0	0	1
5384	363478097	52_23_21_52_25_110_16	Pit.java	field is never used	60000	11	1518789782807	0	1518789784533	0	0	true	false	false	1726	0	1726	0	0	0	1	0	0	1
1863	-1211479560	52_23_21_52_19_45_15	Pit.java	field is never used	60000	22	1518705049473	0	1518705050363	0	0	true	false	false	890	0	890	0	0	0	1	0	0	1
4098	-1130662825	0_21_93_34_55_0_16	Pit.java	parameter is never used	30000	10	1518774803641	0	1518774808095	0	0	true	false	false	4454	0	4454	0	0	0	1	0	0	1
3643	-1402381697	0_21_93_34_43_0_16	Pit.java	field is never used	60000	30	1518775238114	0	1518775238551	0	0	true	false	false	437	0	437	0	0	0	1	0	0	1
3191	-510872221	0_21_93_34_35_0_16	Pit.java	parameter is never used	30000	17	1518774333160	1518774363160	1518774461856	0	0	true	true	false	128696	98696	128696	0	0	0	10	0	0	1
1969	-1437348834	52_23_21_52_19_92_15	Pit.java	statement expected	60000	30	1518705079737	0	1518705118645	0	0	true	false	false	38908	0	38908	0	0	0	6	0	0	1
4522	-954584574	24_102_38_44_43_62_16	Pit.java	field is never used	60000	20	1518774273012	0	1518774274593	0	0	true	false	false	1581	0	1581	0	0	0	1	0	0	1
1811	1392917891	52_23_21_52_19_45_15	Pit.java	access can be private	15000	5	1518702542454	0	1518702545065	0	0	true	false	false	2611	0	2611	0	0	0	3	0	0	1
3664	1016753393	0_21_93_34_43_0_16	GameManager.java	condition is always true	15000	69	1518776825347	1518776840347	0	0	0	false	true	false	677347	653179	668179	0	0	0	7	0	0	3
2291	-1399065445	52_23_21_52_25_127_15	Pit.java	if statement has empty body	15000	24	1518703143248	1518703158248	1518703256700	0	0	true	true	false	113452	80031	95031	0	0	0	1	0	0	2
4351	-568321613	24_102_38_44_103_59_16	Pit.java	parameter is never used	30000	9	1518774632665	0	1518774633508	0	0	true	false	false	843	0	843	0	0	0	1	0	0	1
1048	-706128993	24_102_38_44_40_11_15	Config.java	field is never used	60000	30	1518689190041	1518689563462	0	0	0	false	true	false	1186395	348713	408713	0	0	0	1	0	0	9
4353	-568321613	24_102_38_44_103_59_16	Pit.java	parameter is never used	30000	9	1518774644978	0	1518774645462	0	0	true	false	false	484	0	484	0	0	0	1	0	0	1
559	-504398622	0_21_93_34_40_0_15	Pit.java	field is never used	60000	29	1518689927725	0	1518689929044	0	0	true	false	false	1319	0	1319	0	0	0	1	0	0	1
2983	-1211479560	0_21_93_34_31_0_16	Pit.java	field is never used	60000	20	1518774248016	0	1518774249204	0	0	true	false	false	1188	0	1188	0	0	0	1	0	0	1
5578	-239891662	52_23_21_52_33_116_16	Pit.java	variable is never used	60000	14	1518787939232	0	1518787941893	0	0	true	false	false	2661	0	2661	0	0	0	1	0	0	1
1687	-2049185983	52_23_21_52_18_38_15	Pit.java	parameter is never used	30000	12	1518702422763	0	1518702429950	0	0	true	false	false	7187	0	7187	0	0	0	1	0	0	1
1810	1392917891	52_23_21_52_19_45_15	Pit.java	access can be private	15000	5	1518702536166	0	1518702536967	0	0	true	false	false	801	0	801	0	0	0	1	0	0	1
2809	53029535	0_21_93_34_29_0_16	Pit.java	field is never used	60000	8	1518774098419	0	1518774099059	0	0	true	false	false	640	0	640	0	0	0	1	0	0	1
3579	608087647	0_21_93_34_43_0_16	Pit.java	field is never used	60000	21	1518774151773	0	1518774153749	0	0	true	false	false	1976	0	1976	0	0	0	1	0	0	1
2728	2074087788	0_21_93_34_27_2_16	Pit.java	variable is never used	60000	16	1518774670663	0	1518774671632	0	0	true	false	false	969	0	969	0	0	0	1	0	0	1
187	1798082946	0_21_93_34_28_0_15	Pit.java	field is never used	60000	6	1518687966373	0	1518687966966	0	0	true	false	false	593	0	593	0	0	0	1	0	0	1
2726	2074087788	0_21_93_34_27_2_16	Pit.java	variable is never used	60000	16	1518774663523	0	1518774667616	0	0	true	false	false	4093	0	4093	0	0	0	1	0	0	1
4921	115892546	52_23_21_52_19_121_16	Pit.java	field is never used	60000	22	1518788764757	0	1518788765178	0	0	true	false	false	421	0	421	0	0	0	1	0	0	1
129	-954584574	0_21_93_34_25_2_15	Pit.java	field is never used	60000	20	1518687876047	0	1518687877443	0	0	true	false	false	1396	0	1396	0	0	0	1	0	0	1
70	-297492503	0_21_93_34_24_0_15	GameManager.java	statement expected	60000	58	1518689162836	0	1518689164570	0	0	true	false	false	1734	0	1734	0	0	0	1	0	0	1
4870	920172863	52_23_21_52_18_38_16	Pit.java	field is never used	60000	13	1518790758310	0	1518790785444	0	0	true	false	false	27134	0	21585	0	0	0	1	0	0	2
3283	-736422198	0_21_93_34_35_0_16	GameManager.java	variable is never used	60000	60	1518776685490	0	1518776686582	0	0	true	false	false	1092	0	1092	0	0	0	1	0	0	1
4594	240676864	24_102_38_44_43_62_16	Pit.java	variable is never used	60000	23	1518776954778	0	1518776959606	0	0	true	false	false	4828	0	4828	0	0	0	1	0	0	1
4010	-971493832	0_21_93_34_49_0_16	Obstacle.java	statement expected	60000	30	1518775412554	0	1518775431267	0	0	true	false	false	18713	0	18713	0	0	0	3	0	0	1
1089	-1463592247	24_102_38_44_41_57_15	Pit.java	parameter is never used	30000	11	1518689259914	0	1518689283082	0	0	true	false	false	23168	0	23168	0	0	0	1	0	0	1
4011	-971493832	0_21_93_34_49_0_16	Obstacle.java	statement expected	60000	30	1518775432006	0	1518775450771	0	0	true	false	false	18765	0	18765	0	0	0	9	0	0	1
3111	-1739192734	0_21_93_34_34_0_16	Pit.java	field is never used	60000	4	1518773783581	0	1518773784181	0	0	true	false	false	600	0	600	0	0	0	1	0	0	1
624	-1873895737	0_21_93_34_43_0_15	Pit.java	parameter is never used	30000	13	1518689182301	0	1518689208875	0	0	true	false	false	26574	0	26574	0	0	0	1	0	0	1
874	-562340512	0_21_93_34_47_0_15	Pit.java	variable is never used	60000	18	1518690287791	1518690347791	1518690383399	0	0	true	true	false	95608	35608	95608	0	0	0	1	0	0	1
4707	1765958277	52_23_21_52_17_127_16	Pit.java	parameter is never used	30000	9	1518788461683	0	1518788463567	0	0	true	false	false	1884	0	1884	0	0	0	1	0	0	1
5399	1013860442	52_23_21_52_25_110_16	Pit.java	variable is never used	60000	25	1518790487105	0	1518790520847	0	0	true	false	false	33742	0	28388	0	0	0	1	0	0	2
5455	232478778	52_23_21_52_32_13_16	Pit.java	field is never used	60000	18	1518787789651	0	1518787790297	0	0	true	false	false	646	0	646	0	0	0	1	0	0	1
2383	1921835775	52_23_21_52_26_34_15	GameManager.java	field is never used	60000	24	1518704162046	0	1518704170720	0	0	true	false	false	8674	0	8674	0	0	0	1	0	0	1
3058	2019519973	0_21_93_34_33_0_16	Pit.java	parameter is never used	30000	7	1518773705172	0	1518773715313	0	0	true	false	false	10141	0	10141	0	0	0	1	0	0	1
2249	1058805026	52_23_21_52_25_110_15	Pit.java	field is never used	60000	17	1518703364896	0	1518703371537	0	0	true	false	false	6641	0	6641	0	0	0	1	0	0	1
3866	-783121874	0_21_93_34_47_0_16	Pit.java	return is unnecessary as the last statement in a void method	15000	33	1518775415400	0	1518775417798	0	0	true	false	false	2398	0	2398	0	0	0	1	0	0	1
4399	590770395	24_102_38_44_103_59_16	GameManager.java	if statement has empty body	15000	65	1518776800901	1518776815901	1518776817499	0	0	true	true	false	16598	1598	16598	0	0	0	1	0	0	1
4847	2074294277	52_23_21_52_18_38_16	Pit.java	parameter is never used	30000	12	1518788276450	1518788320046	1518788432770	0	0	true	true	false	156320	95475	125475	0	0	0	6	0	0	6
1668	988212478	52_23_21_52_18_38_15	Pit.java	field is never used	60000	8	1518702160244	0	1518702161307	0	0	true	false	false	1063	0	1063	0	0	0	1	0	0	1
4397	590770395	24_102_38_44_103_59_16	GameManager.java	if statement has empty body	15000	65	1518776798260	0	1518776799573	0	0	true	false	false	1313	0	1313	0	0	0	1	0	0	1
